client_name,basket,browse,display
Radishbo-ya (Clovertech) (a591c),1.0,,
.K Online (6abd7),1.0,,
Activity - CN (2f8b2),1.0,,
Activity - EN (d6316),1.0,,
Activity - JP (fbd9e),1.0,1.0,
Activity - KO (27ade),1.0,,
Activity - TH (95a3a),1.0,,
Activity - TW (11be8),1.0,,
Atomicboxx (33a13),1.0,,
CAN ONLINE SHOP (8aebe),1.0,1.0,
Denham - Japan (5ed5f),1.0,1.0,
Diptyque Paris JP (e8633),1.0,,
HIS Japan (caef0),1.0,,
Haruyama (b79a5),1.0,1.0,
Karrimor (JP) (73c71),1.0,,
Manara - main site (3ca7c),1.0,,
Oisix (c1da1),1.0,,
Oisix - Gift Shop (87a8d),1.0,,
Sanko Bazaar (ccf42),1.0,1.0,
Tea Life Japan (11b24),1.0,1.0,
Tornadomart (JP) (547b9),1.0,,
MGH - HOTEL THE CELESTINE KYOTO GION (bee14),,,1.0
MGH - Millennium Tokyo (23264),,,1.0
MGH - Nagoya Premier   (8b1f2),,,1.0
MGH - Otemachi (c873c),,,1.0
MGH - Shiodome Italia-gai (a92d5),,,1.0
MGH - Ueno (e90bf),,,1.0
