日付,クライアント,ダッシュボード種別,送付件数,開封数,クリック数,コンバージョン数,コンバージョン金額
2026-05-21,.K Online (6abd7),Basket,9,1,0,0,
2026-05-21,Activity - CN (2f8b2),Basket,0,0,0,0,
2026-05-21,Activity - EN (d6316),Basket,6,6,4,0,
2026-05-21,Activity - JP (fbd9e),Basket,343,209,37,11,236100.0
2026-05-21,Activity - JP (fbd9e),Browse,644,294,29,5,56764.0
2026-05-21,Activity - KO (27ade),Basket,1,1,0,0,
2026-05-21,Activity - TH (95a3a),Basket,0,0,0,0,
2026-05-21,Activity - TW (11be8),Basket,7,3,1,1,
2026-05-21,Atomicboxx (33a13),Basket,72,48,2,3,33462.0
2026-05-21,CAN ONLINE SHOP (8aebe),Basket,966,415,67,13,88825.0
2026-05-21,CAN ONLINE SHOP (8aebe),Browse,5367,1922,225,30,338624.0
2026-05-21,Denham - Japan (5ed5f),Basket,38,26,7,2,44660.0
2026-05-21,Denham - Japan (5ed5f),Browse,305,129,7,0,
2026-05-21,Diptyque Paris JP (e8633),Basket,289,64,2,3,34100.0
2026-05-21,HIS Japan (caef0),Basket,128,85,13,3,431481.0
2026-05-21,Haruyama (b79a5),Basket,122,54,15,5,91319.0
2026-05-21,Haruyama (b79a5),Browse,73,39,6,2,34710.0
2026-05-21,Karrimor (JP) (73c71),Basket,76,31,9,0,
2026-05-21,Manara - main site (3ca7c),Basket,663,339,90,23,122308.0
2026-05-21,Oisix (c1da1),Basket,2171,1143,322,27,46480.0
2026-05-21,Oisix - Gift Shop (87a8d),Basket,248,104,28,5,33965.0
2026-05-21,Radishbo-ya (Clovertech) (a591c),Basket,2150,913,202,23,36040.0
2026-05-21,Sanko Bazaar (ccf42),Basket,63,44,13,0,
2026-05-21,Sanko Bazaar (ccf42),Browse,350,148,25,4,22880.0
2026-05-21,Tea Life Japan (11b24),Basket,180,58,13,2,5400.0
2026-05-21,Tea Life Japan (11b24),Browse,435,97,15,1,3280.0
2026-05-21,Tonal Japan (0e2b4),Basket,0,0,0,0,
2026-05-21,Tornadomart (JP) (547b9),Basket,16,9,3,0,
2026-05-21,MGH - HOTEL THE CELESTINE KYOTO GION (bee14),Display,4,0,2,0,
2026-05-21,MGH - Millennium Tokyo (23264),Display,16,0,1,1,94905.0
2026-05-21,MGH - Nagoya Premier   (8b1f2),Display,24,0,15,11,2028570.0
2026-05-21,MGH - Otemachi (c873c),Display,12,0,6,4,347099.0
2026-05-21,MGH - Shiodome Italia-gai (a92d5),Display,16,0,8,7,381982.0
2026-05-21,MGH - Ueno (e90bf),Display,13,0,1,1,41610.0
